concept_name,action,category
Halorin Yandres,APPROVE,NPC
Hamlin Hurlwind,APPROVE,NPC
Hank,APPROVE,NPC
Hannity Lerune,APPROVE,NPC
Hannu's Provisions,APPROVE,Location
Harbin Wester,APPROVE,NPC
Harlo Honeygrin,APPROVE,NPC
Haruman,APPROVE,Villain
Haruman's Hill,APPROVE,Location
Hatch and Release,APPROVE,Other
Havel of the Autumn Moon,APPROVE,NPC
Hawk's End,APPROVE,Location
Haze Regent Lenore von Kessel,APPROVE,NPC
He Who Laughs Last,APPROVE,Other
Head in the Clouds,APPROVE,Other
Heavensteppe,APPROVE,Location
Hedge Bard,APPROVE,Monster
Hedge Mage,APPROVE,Monster
Hedge Witch,APPROVE,Monster
Hedy Crest,APPROVE,NPC
Heir to the Lair,APPROVE,Other
Heldendrick,APPROVE,NPC
Hell's Lash,APPROVE,Spell
Hellfire Blade,APPROVE,Equipment
Hellvet Cloak,APPROVE,Equipment
Helmsdale,APPROVE,Location
Heluthe Brantifax,APPROVE,NPC
Herald of Blood,APPROVE,Monster
Herald of Darkness,APPROVE,Monster
Herald of Fools,APPROVE,Monster
Herdaenon Gup,APPROVE,NPC
Hertilod,APPROVE,Monster
Hezmin the Red,APPROVE,Villain
High Flamekeeper Ophelia Reed,APPROVE,NPC
High Mage Vairae,APPROVE,NPC
High Roller,APPROVE,Other
Hither,APPROVE,Location
Hooded Lantern Veteran,APPROVE,Monster
Hooded Lanterns,APPROVE,Faction
Horns,APPROVE,NPC
Hourglass Coven,APPROVE,Faction
House of Convalescence,APPROVE,Location
House of Thalivar,APPROVE,Location
Hraesvelgr the Corpse Swallower,APPROVE,Villain
Hrigg Roundhook,APPROVE,NPC
Hulil Lutan,APPROVE,Villain
Hunt for the Loper,APPROVE,Other
Iarno Albrek,APPROVE,Villain
Icewind Dale,APPROVE,Location
Ichthyosis Mutagen,APPROVE,Mechanic
Iggwilv,APPROVE,Villain
Ignatius Inkbolt,APPROVE,NPC
Ignis,APPROVE,NPC
Illithinoch,APPROVE,Location
Ilvaash,APPROVE,Deity
Infernal Chancellor Lazivos,APPROVE,NPC
Inquisition Domain,APPROVE,Subclass
Invido,APPROVE,NPC
Iriad,APPROVE,NPC
Iron Shadow,APPROVE,Monster
Irven Liel,APPROVE,NPC
Ithu'rath,APPROVE,Monster
Ithu'rath the All-Seeing,APPROVE,Villain
Jabberwock,APPROVE,Villain
Jakad's Heart,APPROVE,Equipment
Jarazoun the Efreeti,APPROVE,NPC
Jarlaxle Baenre,APPROVE,NPC
Jarlmoot,APPROVE,Location
Jedar Pike,APPROVE,NPC
Jerbeen Commoner,APPROVE,Monster
Jerbeen Swashbuckler,APPROVE,Monster
Jerbeen Thief,APPROVE,Monster
"Jerrin ""Snapshadow"" Hollowhome",APPROVE,NPC
Jerry Smith,APPROVE,Other
Jeyev Veldrews,APPROVE,NPC
