concept_name,action,category
Lord of the Bog,APPROVE,Villain
Lord of the Feast,APPROVE,Villain
"Lorno and Lanelle Burrowbright",APPROVE,NPC
Lucas Azira,APPROVE,NPC
Lucretia Mathias,APPROVE,NPC
Lulu,APPROVE,NPC
Lum the Mad,APPROVE,Lore
Luma Cleric of Ardea,APPROVE,Monster
Luma Wizard,APPROVE,Monster
Lupilisk Elder,APPROVE,Monster
Lure of the Lamia,APPROVE,Other
Lyan Amaranthia,APPROVE,NPC
Lyceum Scholar,APPROVE,Monster
Lynx Creatlach,APPROVE,NPC
Lyra,APPROVE,NPC
Mad Maggie,APPROVE,NPC
Mage Hunter Golem,APPROVE,Monster
Mahadi,APPROVE,NPC
Makalia Siannodel,APPROVE,NPC
Making A Scene,APPROVE,Other
Malin,APPROVE,NPC
Man in the Mirage,APPROVE,Villain
Mapach Bandit,APPROVE,Monster
Mapach Brute,APPROVE,Monster
Mapach Thug,APPROVE,Monster
Mapach Tinkerer,APPROVE,Monster
Marauding Dragon,APPROVE,Monster
Markos Delphi,APPROVE,NPC
Marshview,APPROVE,Location
Mary Grimalkin,APPROVE,NPC
Matreous,APPROVE,NPC
Mayhem at the Crossroads,APPROVE,Other
Meadowfen,APPROVE,Location
Meatface,APPROVE,NPC
Medi Tuck,APPROVE,NPC
Meera Raheer,APPROVE,NPC
Memory's Rest,APPROVE,Location
Merchant Lord,APPROVE,Faction
Mercion,APPROVE,NPC
Merle and Morris Mossbow,APPROVE,NPC
Merrymead City of Revels,APPROVE,Location
Miirym,APPROVE,NPC
Minarrh,APPROVE,NPC
Mind Flayers,APPROVE,Monster
Mirt the Merciless,APPROVE,NPC
Misfortune Bringer,APPROVE,Monster
Miska the Wolf-Spider,APPROVE,Villain
Mister Light,APPROVE,NPC
Mister Witch,APPROVE,NPC
Moghadam,APPROVE,NPC
Molliver,APPROVE,NPC
Monster Hunter,APPROVE,Subclass
Moonflower Mosswell,APPROVE,NPC
Morbus Doctore,APPROVE,Monster
Mordenkainen,APPROVE,NPC
Mortlock Vanthampur,APPROVE,NPC
Morty Buckleberry,APPROVE,NPC
Morty Smith,APPROVE,Other
Motherhorn,APPROVE,Location
Mournland,APPROVE,Setting
Mr. Blip,APPROVE,NPC
Murkmire Malevolence,APPROVE,Other
Mycete,APPROVE,Species & Lineage
Myla,APPROVE,NPC
Mythos Tomes,APPROVE,Equipment
Nafas,APPROVE,NPC
Nass Lantomir,APPROVE,NPC
Nathaniel Flint,APPROVE,Lore
Neogi Hatchlings,APPROVE,Monster
Nerukhet,APPROVE,NPC
Nestra Vendri,APPROVE,NPC
Netheril,APPROVE,Location
Neverwinter,APPROVE,Location
Nezznar the Spider,APPROVE,Villain
