concept_name,source_book,publisher
Gil Hopper,Candlekeep Mysteries,Wizards of the Coast
Grand Secretary Wei,Candlekeep Mysteries,Wizards of the Coast
Halorin Yandres,Candlekeep Mysteries,Wizards of the Coast
Hamlin Hurlwind,Candlekeep Mysteries,Wizards of the Coast
Hannity Lerune,Candlekeep Mysteries,Wizards of the Coast
Harlo Honeygrin,Candlekeep Mysteries,Wizards of the Coast
Hedy Crest,Candlekeep Mysteries,Wizards of the Coast
Heldendrick,Candlekeep Mysteries,Wizards of the Coast
Heluthe Brantifax,Candlekeep Mysteries,Wizards of the Coast
Ignatius Inkbolt,Candlekeep Mysteries,Wizards of the Coast
Infernal Chancellor Lazivos,Candlekeep Mysteries,Wizards of the Coast
Iriad,Candlekeep Mysteries,Wizards of the Coast
Joster Mareet,Candlekeep Mysteries,Wizards of the Coast
Kaga,Candlekeep Mysteries,Wizards of the Coast
Kala Mabarin,Candlekeep Mysteries,Wizards of the Coast
Kasem Aroon,Candlekeep Mysteries,Wizards of the Coast
Kiir Bravarian,Candlekeep Mysteries,Wizards of the Coast
Kiona,Candlekeep Mysteries,Wizards of the Coast
Kishina Darrowind,Candlekeep Mysteries,Wizards of the Coast
Lady Avalla Deseo,Candlekeep Mysteries,Wizards of the Coast
Lady Emer,Candlekeep Mysteries,Wizards of the Coast
Lazivos,Candlekeep Mysteries,Wizards of the Coast
Lieutenant Petra Lang,Candlekeep Mysteries,Wizards of the Coast
Little One,Candlekeep Mysteries,Wizards of the Coast
Lord Erasmus Deseo,Candlekeep Mysteries,Wizards of the Coast
Lucas Azira,Candlekeep Mysteries,Wizards of the Coast
Lucretia Mathias,Candlekeep Mysteries,Wizards of the Coast
Lynx Creatlach,Candlekeep Mysteries,Wizards of the Coast
Makalia Siannodel,Candlekeep Mysteries,Wizards of the Coast
Mary Grimalkin,Candlekeep Mysteries,Wizards of the Coast
Matreous,Candlekeep Mysteries,Wizards of the Coast
Meatface,Candlekeep Mysteries,Wizards of the Coast
Miirym,Candlekeep Mysteries,Wizards of the Coast
Morty Buckleberry,Candlekeep Mysteries,Wizards of the Coast
Odaiova,Candlekeep Mysteries,Wizards of the Coast
Ollin,Candlekeep Mysteries,Wizards of the Coast
Orvo Mustave,Candlekeep Mysteries,Wizards of the Coast
Peloo,Candlekeep Mysteries,Wizards of the Coast
Picco,Candlekeep Mysteries,Wizards of the Coast
Pral,Candlekeep Mysteries,Wizards of the Coast
Qunbraxel,Candlekeep Mysteries,Wizards of the Coast
Raegrin Mau,Candlekeep Mysteries,Wizards of the Coast
Reeves,Candlekeep Mysteries,Wizards of the Coast
Russell,Candlekeep Mysteries,Wizards of the Coast
Sabrinda the White,Candlekeep Mysteries,Wizards of the Coast
Sair,Candlekeep Mysteries,Wizards of the Coast
Sebastian,Candlekeep Mysteries,Wizards of the Coast
Sinensa,Candlekeep Mysteries,Wizards of the Coast
Spleck Smandra,Candlekeep Mysteries,Wizards of the Coast
Sundar the Bold,Candlekeep Mysteries,Wizards of the Coast
Sylphise,Candlekeep Mysteries,Wizards of the Coast
Syndramas,Candlekeep Mysteries,Wizards of the Coast
Tayr the Paladin,Candlekeep Mysteries,Wizards of the Coast
Tem Temble,Candlekeep Mysteries,Wizards of the Coast
Than,Candlekeep Mysteries,Wizards of the Coast
Torin,Candlekeep Mysteries,Wizards of the Coast
Treyvan von Hirnschmann,Candlekeep Mysteries,Wizards of the Coast
Tuval-Uthriar,Candlekeep Mysteries,Wizards of the Coast
Vali,Candlekeep Mysteries,Wizards of the Coast
Verla Pelc,Candlekeep Mysteries,Wizards of the Coast
Vinx,Candlekeep Mysteries,Wizards of the Coast
Vivienn Dirroze,Candlekeep Mysteries,Wizards of the Coast
Yndarien,Candlekeep Mysteries,Wizards of the Coast
Yula Dargeria,Candlekeep Mysteries,Wizards of the Coast
Zala Morphus,Candlekeep Mysteries,Wizards of the Coast
Dukha Batiyali,Candlekeep Mysteries,Wizards of the Coast
Emad Farrock,Candlekeep Mysteries,Wizards of the Coast
Bartho,The Wild Beyond the Witchlight,Wizards of the Coast
Bindlemint Mincemower,The Wild Beyond the Witchlight,Wizards of the Coast
"Burlywhirl, Sergeant at Arms",The Wild Beyond the Witchlight,Wizards of the Coast
Chitter,The Wild Beyond the Witchlight,Wizards of the Coast
Cinderhide,The Wild Beyond the Witchlight,Wizards of the Coast
Connie,The Wild Beyond the Witchlight,Wizards of the Coast
Cudgel Ironsmile,The Wild Beyond the Witchlight,Wizards of the Coast
Demelza Tackwind,The Wild Beyond the Witchlight,Wizards of the Coast
Filonia,The Wild Beyond the Witchlight,Wizards of the Coast
Grump,The Wild Beyond the Witchlight,Wizards of the Coast
