concept_name,action,category
Drelnza,APPROVE,Villain
Droop,APPROVE,NPC
Dukha Batiyali,APPROVE,NPC
Dumathoin's Gulch,APPROVE,Location
Dunal,APPROVE,NPC
Dungeon Master,APPROVE,Party Role
Dungeon of Shadows,APPROVE,Location
Durixaviinox,APPROVE,NPC
Durixaviinox's Rest,APPROVE,Location
Dwendalian Empire,APPROVE,Faction
Dwor,APPROVE,NPC
Dzaan,APPROVE,NPC
Easthaven,APPROVE,Location
Ebon Syndicate,APPROVE,Faction
Ebondeath,APPROVE,Villain
Ebondeath's Mausoleum,APPROVE,Location
Echo Knight,APPROVE,Subclass
Ectoplasmic Expulsion,ARCHIVE,
Eddie Munson,APPROVE,Other
Edwardia,APPROVE,NPC
Eileanar,APPROVE,Location
Eiselcross,APPROVE,Location
Elandra,APPROVE,NPC
Elder Child of Belcorra,ARCHIVE,
Elder Dragon Frog,APPROVE,Monster
Elder Elemental Eye,APPROVE,Deity
Elder Lava Wurm,APPROVE,Monster
Elder Shadow Drake,APPROVE,Monster
Elder Spirits,APPROVE,Deity
Eldrick Runeweaver,APPROVE,NPC
Eldritch Domain,APPROVE,Subclass
Elkhorn,APPROVE,NPC
Elmandar,APPROVE,NPC
Elora Quickwit,APPROVE,NPC
Elro Aldataur,APPROVE,NPC
Elturel,APPROVE,Location
Elucidarium,APPROVE,Equipment
Elva,APPROVE,NPC
Elven Veteran Archer,APPROVE,Monster
Elvish Veteran Archer,APPROVE,Monster
Emad Farrock,APPROVE,NPC
Endelyn Moongrave,APPROVE,Villain
Enoch,APPROVE,NPC
Entering the Wombweald,APPROVE,Other
Eriador,ARCHIVE,
Eric,APPROVE,NPC
Erky Timbers,APPROVE,NPC
Ethelred,APPROVE,NPC
Evernight,APPROVE,Location
Evin Giltall,APPROVE,NPC
Excess,ARCHIVE,
Eyes of the Mountain,APPROVE,Faction
"Fandeval, City of Goblins",APPROVE,Location
Faren's Rest,APPROVE,Location
Ferol Sal,APPROVE,Villain
Fheralai Stormsworn,APPROVE,Villain
Field Commander,APPROVE,Monster
Fields of the Crow,APPROVE,Location
Fight at the Museum,APPROVE,Other
Filonia,APPROVE,NPC
Finn Dejarr,APPROVE,NPC
"Finneas ""Bullybird"" Klawk",APPROVE,NPC
Fishery,APPROVE,Location
Fistandia's Mansion,APPROVE,Location
Flaming Fist,APPROVE,Faction
Flauma,APPROVE,NPC
Flee or Freeze,APPROVE,Mechanic
Flemon,APPROVE,NPC
Flizzlebin,APPROVE,NPC
Flukespan Timbers,APPROVE,NPC
Foes in the Foliage,APPROVE,Other
Folding Drums,APPROVE,Equipment
Fool's Gold,APPROVE,YouTube
Fool's Needle,APPROVE,Location
Fool's Day,APPROVE,Other
Forest of Hands,APPROVE,Location
Forging a Future,APPROVE,Other
Forzaantilirys,APPROVE,NPC
Forzaantirilys,APPROVE,NPC
Frigid Woe,APPROVE,Mechanic
Froghemoth Elder,APPROVE,Monster
Frond Bellewether,APPROVE,NPC
Fulcrum Lattice,APPROVE,Equipment
Galas Windrage,APPROVE,NPC
Gallio Elibro,APPROVE,NPC
Gallus Druid,APPROVE,Monster
Gallus Monk,APPROVE,Monster
Gallus Necromancer,APPROVE,Monster
Games of the Gods,APPROVE,Other
Gar Shatterkeel,APPROVE,Villain
Gargauth,APPROVE,Deity
Garlo,APPROVE,NPC
Gauntlgrym,APPROVE,Location
Gauntlight,ARCHIVE,
General Yael,APPROVE,NPC
Gerta Downyruff,APPROVE,NPC
Ghost Knight,APPROVE,Monster
Gil Hopper,APPROVE,NPC
Give it a Whirl,APPROVE,Other
Glaive,APPROVE,Equipment
Glasstaff,APPROVE,Villain
Godsbreath,APPROVE,Location
Golden Grin,APPROVE,Faction
Golden Vault,APPROVE,Faction
Golden Vault Handler,APPROVE,NPC
Goodlund,APPROVE,Location
Goxomoc,APPROVE,Villain
Gragonis,APPROVE,Villain
Grand Duke Ulder Ravengard,APPROVE,NPC
Grand Secretary Wei,APPROVE,NPC
Grave Order,APPROVE,Faction
Graviturgy Magic,APPROVE,Mechanic
Green as Copper,APPROVE,Other
Greenest,APPROVE,Location
Greyhawkins,APPROVE,Other
Grimskalle,APPROVE,Location
Grog Strongjaw,APPROVE,PC
Groves of the Wardens,APPROVE,Location
Grump,APPROVE,NPC
Gundren Rockseeker,APPROVE,NPC
Gurt Hallowfen,APPROVE,NPC
Gwyn Oresong,APPROVE,NPC
H'Catha,APPROVE,Location
Halia Thornton,APPROVE,NPC
Hallowed Dark,APPROVE,Deity
