concept_name,source_book,publisher
The Castellan,Keep on the Borderlands,Wizards of the Coast
Theldin,Spelljammer: Adventures in Space,Wizards of the Coast
Thurstwell Vanthampur,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Trinket,Tal'Dorei Campaign Setting Reborn,Darrington Press
Uni,The Wild Beyond the Witchlight,Wizards of the Coast
Young-Gi,Journeys through the Radiant Citadel,Wizards of the Coast
Zikran,Candlekeep Mysteries,Wizards of the Coast
Zorhanna Adulare,Candlekeep Mysteries,Wizards of the Coast
Zybilna,The Wild Beyond the Witchlight,Wizards of the Coast
"""Lucky"" Sevran Dusktalon",Humblewood Campaign Setting,Hit Point Press
Beth Smith,Dungeons & Dragons vs. Rick and Morty,Wizards of the Coast
Grog Strongjaw,Tal'Dorei Campaign Setting Reborn,Darrington Press
Percival de Rolo,Tal'Dorei Campaign Setting Reborn,Darrington Press
Scanlan Shorthalt,Tal'Dorei Campaign Setting Reborn,Darrington Press
Taryon Darrington,Tal'Dorei Campaign Setting Reborn,Darrington Press
Will the Wise,Stranger Things Dungeons & Dragons Starter Set,Wizards of the Coast
Dungeon Master,Player's Handbook,Wizards of the Coast
Secret Agent,Acquisitions Incorporated,Wizards of the Coast
A Dog's Dinner,Candlekeep Mysteries,Wizards of the Coast
Desert of Desolation,Desert of Desolation,Wizards of the Coast
Keep on the Borderlands,Keep on the Borderlands,Wizards of the Coast
Shattered Obelisk,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast
Tomb of Horrors,Tales from the Yawning Portal,Wizards of the Coast
Blackmoor,Supplement II: Blackmoor,Wizards of the Coast
Celene,World of Greyhawk Fantasy Game Setting,Wizards of the Coast
Damara,Forgotten Realms Campaign Setting,Wizards of the Coast
Pandemonium,Planescape: Adventures in the Multiverse,Wizards of the Coast
Realmspace,Spelljammer: Adventures in Space,Wizards of the Coast
The Disembodied,Grim Hollow: The Campaign Guide,Ghostfire Gaming
The Downcast,Grim Hollow: The Campaign Guide,Ghostfire Gaming
The Humblefolk,Humblewood Campaign Setting,Hit Point Press
The Rocborne,Humblewood Campaign Setting,Hit Point Press
Umbral Humans,Grim Hollow: The Player's Guide,Ghostfire Gaming
Unbound Satarre,Tome of Heroes,Kobold Press
Wyrd Gnome,Tome of Heroes,Kobold Press
Knock,Player's Handbook,Wizards of the Coast
Rust and Ruin,Humblewood Campaign Setting,Hit Point Press
Cavalier,Xanathar's Guide to Everything,Wizards of the Coast
Chronurgy Magic,Explorer's Guide to Wildemount,Wizards of the Coast
Echo Knight,Explorer's Guide to Wildemount,Wizards of the Coast
Eldritch Domain,Grim Hollow: The Campaign Guide,Ghostfire Gaming
Inquisition Domain,Grim Hollow: The Campaign Guide,Ghostfire Gaming
Living Crucible,Grim Hollow: The Campaign Guide,Ghostfire Gaming
Monster Hunter,Xanathar's Guide to Everything,Wizards of the Coast
Urban Ranger,MCDM RPG,MCDM Productions
Aazael the Dread Knight,Dungeons of Drakkenheim,Ghostfire Gaming
Bavlorna Blightstraw,The Wild Beyond the Witchlight,Wizards of the Coast
Bel,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Belephaion,Hoard of the Dragon Queen,Wizards of the Coast
Brimskarda,Storm King's Thunder,Wizards of the Coast
Bubonia,Lost Laboratory of Kwalish,Wizards of the Coast
Chardansearavitriol,Divine Contention,Wizards of the Coast
Crypt-Starved Vladimir von Drakken,Lost Laboratory of Kwalish,Wizards of the Coast
Demogorgon,Out of the Abyss,Wizards of the Coast
"Dr. Everett Freed, Reanimator",Candlekeep Mysteries,Wizards of the Coast
Dragotha,Dungeon Magazine,Wizards of the Coast
Dread Morgan,Ghosts of Saltmarsh,Wizards of the Coast
Drelnza,Tales from the Yawning Portal,Wizards of the Coast
Ebondeath,Divine Contention,Wizards of the Coast
Endelyn Moongrave,The Wild Beyond the Witchlight,Wizards of the Coast
Ferol Sal,Candlekeep Mysteries,Wizards of the Coast
Fheralai Stormsworn,Storm Lord's Wrath,Wizards of the Coast
Gar Shatterkeel,Princes of the Apocalypse,Wizards of the Coast
Glasstaff,Lost Mine of Phandelver,Wizards of the Coast
Goxomoc,Tales from the Yawning Portal,Wizards of the Coast
Gragonis,Ghosts of Saltmarsh,Wizards of the Coast
Haruman,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Hraesvelgr the Corpse Swallower,Odyssey of the Dragonlords,Arcanum Worlds
Iarno Albrek,Lost Mine of Phandelver,Wizards of the Coast
Iggwilv,The Wild Beyond the Witchlight,Wizards of the Coast
Jabberwock,The Wild Beyond the Witchlight,Wizards of the Coast
Kansaldi Fire-Eyes,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast
Kas the Betrayer,Vecna: Eve of Ruin,Wizards of the Coast
Keeper of the Blight,Humblewood Campaign Setting,Hit Point Press
