concept_name,action,category
Vulpin Spy,APPROVE,Monster
Walk the Walk,APPROVE,Other
Warden's Office,APPROVE,Location
Warduke,APPROVE,Villain
Warts and All,APPROVE,Other
Wastes of Xhorhas,APPROVE,Location
Waterdeep,APPROVE,Location
Wave of Destruction,APPROVE,Other
Wavechaser,APPROVE,Location
Way of the Lion,APPROVE,Lore
Werewolf Knight,APPROVE,Monster
Weslock,APPROVE,Location
Wicker's Vigil,APPROVE,Other
Wildspace,APPROVE,Location
Will the Wise,APPROVE,PC
Willowbrush,APPROVE,Location
Win or Ooze,APPROVE,Other
Windbreak,APPROVE,Location
Windfall,APPROVE,Location
Winvarle,APPROVE,NPC
Withered Eyeball,APPROVE,Other
Wretched Bloodline,APPROVE,Lore
Wyrd Gnome,APPROVE,Species & Lineage
Wytchway,APPROVE,Location
Xaantikorijek,APPROVE,NPC
Xanthoria,APPROVE,Villain
Xardorok Sunblight,APPROVE,Villain
Xorannox,APPROVE,Villain
Xorannox the Tyract,APPROVE,Villain
Yalme,APPROVE,NPC
Yeonido,APPROVE,Location
Yilsebek Dalambra,APPROVE,NPC
Yndarien,APPROVE,NPC
Yndaros,ARCHIVE,
Yon,APPROVE,Location
Yongjing,APPROVE,Location
Young-Gi,APPROVE,NPC
Yselm Bloodfang,APPROVE,NPC
Yserthrax,APPROVE,Villain
Ythryn,APPROVE,Location
Yula Dargeria,APPROVE,NPC
Zala Morphus,APPROVE,NPC
Zalryr,APPROVE,NPC
Zarak,APPROVE,Villain
Zargash,APPROVE,Villain
Zargon the Returner,APPROVE,Villain
Zariel,APPROVE,Villain
Zenith Aastrika,APPROVE,NPC
Zephyr & Co.,APPROVE,Faction
Zifa Freewind,APPROVE,NPC
Zikran,APPROVE,NPC
