concept_name,action,category
Reghed Tribes,APPROVE,Faction
Reign of Iron,APPROVE,Other
Rerak,APPROVE,NPC
Return the Favour,APPROVE,Other
Revel's End,APPROVE,Location
Rexxentrum,APPROVE,Location
Rey Mantlemorn,APPROVE,NPC
Rick Sanchez,APPROVE,Other
Rilly June,APPROVE,NPC
Ringlerun,APPROVE,NPC
River Amethyst Academy Liaison,APPROVE,NPC
Rosohna,APPROVE,Location
Ruins of Thundertree,APPROVE,Location
Ruins of Wrathrock,APPROVE,Location
Runara,APPROVE,NPC
Runic Colossus,APPROVE,Monster
Russell,APPROVE,NPC
Rust and Ruin,APPROVE,Spell
Ruxithid the Chosen,APPROVE,Villain
Sabrinda the White,APPROVE,NPC
Saerthe Abizjn,APPROVE,NPC
Safe in the Stillborn,APPROVE,Other
Sage the Roostmother,APPROVE,NPC
Sair,APPROVE,NPC
Salsvault,APPROVE,Location
Saltar's Port,APPROVE,Location
Saltfeather,APPROVE,NPC
Sanguine Knight,APPROVE,Monster
Save the Shelter,APPROVE,Other
Scanlan Shorthalt,APPROVE,PC
Scarlet Shadow,APPROVE,Faction
Scoundrel,APPROVE,Background
Scython,APPROVE,NPC
Sebastian,APPROVE,NPC
Secret Agent,APPROVE,Party Role
Secret to Bear,APPROVE,Other
Serpent's Crown,APPROVE,Equipment
Shadow Fey Bandit,APPROVE,Monster
Shadow of the Broodmother,APPROVE,Other
Shadowkeep,APPROVE,Location
Shadowsteel Ghoul,APPROVE,Monster
Sharruth,APPROVE,Lore
Shattered Obelisk,APPROVE,Rulebooks
Sheila,APPROVE,NPC
Shemshime,APPROVE,Villain
Shoppes and Stores,APPROVE,Other
Shrine of Morrigan,APPROVE,Location
Shrine to Olhydra,APPROVE,Location
Shtriga Nonna,APPROVE,Villain
Siabsungkoh,APPROVE,Location
Sigil,APPROVE,Setting
Sildar Hallwinter,APPROVE,NPC
Silja Dejarr,APPROVE,NPC
Silver Order Recruit,APPROVE,Monster
Silver Order Squire,APPROVE,Monster
Sinensa,APPROVE,NPC
Sinensa's Sanctum,APPROVE,Location
Single Combat,APPROVE,Other
Sir Ursas,APPROVE,NPC
Sister Garaele,APPROVE,NPC
Skabatha Nightshade,APPROVE,Villain
Skeleton Commander,APPROVE,Monster
Skeleton Mage,APPROVE,Monster
Skeleton Soldier,APPROVE,Monster
Skopps the Beast-Breaker,APPROVE,NPC
Skretch,APPROVE,NPC
Skylla,APPROVE,NPC
Slip Tideswell,APPROVE,NPC
Smithy on the Scar,APPROVE,Location
Snap,APPROVE,NPC
Sor'Kur,APPROVE,NPC
Soriglass City of Shades,APPROVE,Location
Soul Coin,APPROVE,Equipment
Sparkrender,APPROVE,Villain
Spectral Warlord,APPROVE,Monster
