concept_name,action,category
Jigow,APPROVE,Location
Jonall Hannu,APPROVE,NPC
Joster Mareet,APPROVE,NPC
Jourrael the Caedogeist,APPROVE,Villain
Just the Tonic,APPROVE,Other
Jutkarr Flintfingers,APPROVE,NPC
Kaga,APPROVE,NPC
Kala Mabarin,APPROVE,NPC
Kalaman,APPROVE,Location
Kalero,APPROVE,NPC
Kansaldi Fire-Eyes,APPROVE,Villain
Kapanuk Thuunlakalaga,APPROVE,NPC
Karsus,APPROVE,Lore
Karvosti,ARCHIVE,
Kas the Betrayer,APPROVE,Villain
Kasem Aroon,APPROVE,NPC
Keep on the Borderlands,APPROVE,Rulebooks
Keeper of Hounds,APPROVE,Monster
Keeper of Ravens,APPROVE,NPC
Keeper of the Blight,APPROVE,Villain
Kelek,APPROVE,NPC
Kender Stumblenoodles,APPROVE,Other
Ker-arach,APPROVE,Villain
Keth Silverson,APPROVE,NPC
Keyleth Voice of the Tempest,APPROVE,PC
Kiir Bravarian,APPROVE,NPC
Kiona,APPROVE,NPC
Kiona the Dread Lord,APPROVE,Villain
Kip Whistleslap,APPROVE,NPC
Kishina Darrowind,APPROVE,NPC
Klar,ARCHIVE,
Klarg,APPROVE,Villain
Knight of Shadows,APPROVE,Monster
Knight-Captain Theodore Marshal,APPROVE,NPC
Knock,APPROVE,Spell
Korda Glintstone,APPROVE,NPC
Kostchtchie,APPROVE,Villain
Kronen,APPROVE,NPC
Kryn Dynasty,APPROVE,Faction
Kwalish,APPROVE,Lore
Labyrinth of Eyes,APPROVE,Location
Lady Applejack,APPROVE,NPC
Lady Avalla Deseo,APPROVE,NPC
Lady Dre,APPROVE,NPC
Lady Emer,APPROVE,NPC
Larswood,APPROVE,Location
Lathander's Shrine,APPROVE,Location
Law and Disorder,APPROVE,Other
Lazivos,APPROVE,NPC
Leader of the Pack,APPROVE,Other
Leedara,APPROVE,NPC
Leilon,APPROVE,Location
Lendarick Rootborn,APPROVE,NPC
Lenny,APPROVE,NPC
Lenore von Kessel,APPROVE,NPC
Lestheris Soldrei,APPROVE,NPC
Levna Drakehorn,APPROVE,NPC
Lieutenant Petra Lang,APPROVE,NPC
Light the Way,APPROVE,Other
Lightning Rods,APPROVE,Equipment
Lightning Seal,APPROVE,Other
Lightning Shield,APPROVE,Other
Lindon,APPROVE,NPC
Little One,APPROVE,NPC
Living Crucible,APPROVE,Subclass
Llyvessa,APPROVE,NPC
Logger,APPROVE,Other
Lohezet,APPROVE,NPC
Lonelywood,APPROVE,Location
Loomlurch,APPROVE,Location
Lord Bakaris,APPROVE,Villain
Lord Commander Elias Drexel,APPROVE,NPC
Lord Erasmus Deseo,APPROVE,NPC
Lord Soth,APPROVE,Villain
Lord Syuul,APPROVE,NPC
