concept_name,action,category
Spelljamming Helm,APPROVE,Equipment
Spiritfarer Erina,APPROVE,NPC
Spleck Smandra,APPROVE,NPC
Stahlmast's Lair,APPROVE,Location
State of the Art,APPROVE,Other
Steel Hawk Captain,APPROVE,Monster
Steel Hawk Soldier,APPROVE,Monster
Stick's Ferry,APPROVE,Location
Stoa Mossbow,APPROVE,NPC
Strahd von Zarovich,APPROVE,Villain
Strig Berserker,APPROVE,Monster
Strig Knight,APPROVE,Monster
Strig Tracker,APPROVE,Monster
Strongheart,APPROVE,NPC
Students of Snow,APPROVE,Other
Stygian Gambit,APPROVE,Other
Sublime Ravenfolk,APPROVE,Monster
Summer Smith,APPROVE,Other
Sunblight,APPROVE,Location
Sundar the Bold,APPROVE,NPC
Swamp of Fate,APPROVE,Location
Sword Wraith Commander,APPROVE,Monster
Sylphise,APPROVE,NPC
Sylvira Savikas,APPROVE,NPC
Syndramas,APPROVE,NPC
Szass Tam,APPROVE,Villain
Takhisis,APPROVE,Deity
Talhundereth,APPROVE,Location
Tarak,APPROVE,NPC
Targos,APPROVE,Location
Tarnhem,APPROVE,NPC
Tarrasque of Terror,APPROVE,Monster
Taryon Darrington,APPROVE,PC
Tasha,APPROVE,Lore
Tatina Rookledust,APPROVE,NPC
Tayr the Paladin,APPROVE,NPC
Teacher's Pet,APPROVE,Other
Tekeli-li,APPROVE,Villain
Tem Temble,APPROVE,NPC
Tempa Greenkeeper,APPROVE,NPC
Temple of Bahamut,APPROVE,Location
Temple of Moloch,APPROVE,Location
Temple of Orcus,APPROVE,Location
Ten-Towns,APPROVE,Location
Teremini Nightsedge,APPROVE,NPC
Termalaine,APPROVE,Location
Tev Sneviptrinket,APPROVE,NPC
Tevor of the Spring Path,APPROVE,NPC
Thaco,APPROVE,Other
Thalamra Vanthampur,APPROVE,Villain
Thalivar's Beacon,APPROVE,Location
Than,APPROVE,NPC
Tharbad,APPROVE,Location
Thavius Kreeg,APPROVE,Villain
The Ashari,APPROVE,Faction
The Avowed,APPROVE,Faction
The Birdfolk,APPROVE,Species & Lineage
The Buyer,APPROVE,NPC
The Bürach Empire,APPROVE,Location
The Castellan,APPROVE,NPC
The Clasp,APPROVE,Faction
The Companion,APPROVE,Lore
The Disembodied,APPROVE,Species & Lineage
The Dohma,APPROVE,Faction
The Downcast,APPROVE,Species & Lineage
The Duchess,APPROVE,Villain
The Family at the Jolly Dwarf,APPROVE,Other
The Horror,ARCHIVE,
The Humblefolk,APPROVE,Species & Lineage
The H'rethi Desert,APPROVE,Location
The Kraken,ARCHIVE,
The Mossbows,APPROVE,NPC
The Myriad,APPROVE,Faction
The Parasite,APPROVE,Monster
The Ragtaggers,APPROVE,Faction
