concept_name,action,category
Chaplain,APPROVE,Monster
Chardansearavitriol,APPROVE,Villain
Charmayne Daymore,APPROVE,NPC
Chernabos,APPROVE,NPC
Chitter,APPROVE,NPC
Christophe Laszlo,APPROVE,NPC
Chronurgy Magic,APPROVE,Subclass
Cinderhide,APPROVE,NPC
City Watch Captain,APPROVE,Monster
Clan Axebreaker,APPROVE,Faction
Claret Orders,APPROVE,Faction
Clasp Member,APPROVE,Monster
Cloak,APPROVE,Equipment
Cloakwood,APPROVE,Location
Clockwork Horrors,APPROVE,Monster
Clovis Concord,APPROVE,Faction
"Cluvus ""The Godfeather"" Lightbreeze",APPROVE,NPC
Cold Seal,APPROVE,Other
Conch,APPROVE,Equipment
Connie,APPROVE,NPC
Conyberry,APPROVE,Location
Cooperative Blade,APPROVE,Equipment
Corlie Halvachar,APPROVE,NPC
"Corremel, the City of Lanterns",APPROVE,Location
Corremel-in-Shadow,APPROVE,Location
Corvum Assassin,APPROVE,Monster
Corvum Diviner,APPROVE,Monster
Corvum Necromancer,APPROVE,Monster
Corvum Songweaver,APPROVE,Monster
Count Rhodar,APPROVE,NPC
Count Rhodar von Glauer,APPROVE,NPC
Court of Mice and Ravens,APPROVE,Faction
Court of Night and Magic,APPROVE,Faction
Court of Sparrows,APPROVE,Faction
Court of Thieves,APPROVE,Faction
Court of Winter's Love,APPROVE,Faction
Cragmaw Goblins,APPROVE,Faction
Crags,APPROVE,Location
Crater's Rim,APPROVE,Location
Creatures of the Deep,APPROVE,Other
Crimson Countess,APPROVE,NPC
Crimson Court,APPROVE,Faction
Crypt of the Talhund,APPROVE,Location
Crypt-Starved Vladimir von Drakken,APPROVE,Villain
Cudgel Ironsmile,APPROVE,NPC
Cynidicea,APPROVE,Location
Daggerford,APPROVE,Location
Dagult Neverember,APPROVE,NPC
Dalliance,APPROVE,NPC
Damara,APPROVE,Setting
Darrett Highwater,APPROVE,NPC
Davokar,ARCHIVE,
Deep One Hybrid Priest,APPROVE,Monster
Deep One Priest,APPROVE,Monster
Delvin,APPROVE,NPC
Demelza Tackwind,APPROVE,NPC
Demogorgon,APPROVE,Villain
Descent into the Dark,ARCHIVE,
Desert of Desolation,APPROVE,Rulebooks
Devourer Guild,APPROVE,Faction
Diana,APPROVE,NPC
Dinner and a Duel,APPROVE,Other
Dohma Raskovar,APPROVE,NPC
Doty X,APPROVE,NPC
Dougan's Hole,APPROVE,Location
Down at the Docks,APPROVE,Other
Downfall,APPROVE,Location
Dr. Cassee Dannell,APPROVE,NPC
"Dr. Everett Freed, Reanimator",APPROVE,Villain
Dragon's Rest,APPROVE,Location
Dragotha,APPROVE,Villain
Draven Malas,APPROVE,NPC
Dread Morgan,APPROVE,Villain
Dread and Breakfast,APPROVE,Other
Drella Swoop,APPROVE,NPC
