concept_name,source_book,publisher
Fistandia's Mansion,Candlekeep Mysteries,Wizards of the Coast
Fool's Needle,Humblewood Campaign Setting,Hit Point Press
Gauntlgrym,Sword Coast Adventurer's Guide,Wizards of the Coast
Godsbreath,Journeys through the Radiant Citadel,Wizards of the Coast
Greenest,Hoard of the Dragon Queen,Wizards of the Coast
Grimskalle,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Groves of the Wardens,Humblewood Campaign Setting,Hit Point Press
H'Catha,Spelljammer: Adventures in Space,Wizards of the Coast
Haruman's Hill,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Heavensteppe,Humblewood Campaign Setting,Hit Point Press
Helmsdale,Humblewood Campaign Setting,Hit Point Press
Hither,The Wild Beyond the Witchlight,Wizards of the Coast
House of Convalescence,Critical Role: Call of the Netherdeep,Wizards of the Coast
House of Thalivar,Divine Contention,Wizards of the Coast
Icewind Dale,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Jarlmoot,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Jigow,Critical Role: Call of the Netherdeep,Wizards of the Coast
Kalaman,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast
Labyrinth of Eyes,Princes of the Apocalypse,Wizards of the Coast
Lathander's Shrine,Lost Mine of Phandelver,Wizards of the Coast
Leilon,Divine Contention,Wizards of the Coast
Lonelywood,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Loomlurch,The Wild Beyond the Witchlight,Wizards of the Coast
Marshview,Humblewood Campaign Setting,Hit Point Press
Meadowfen,Humblewood Campaign Setting,Hit Point Press
Netheril,Sword Coast Adventurer's Guide,Wizards of the Coast
Neverwinter,Sword Coast Adventurer's Guide,Wizards of the Coast
Nib's Cave,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Nightbrook,Humblewood Campaign Setting,Hit Point Press
Nimbral,Sword Coast Adventurer's Guide,Wizards of the Coast
