concept_name,source_book,publisher
Strig Tracker,Humblewood Campaign Setting,Hit Point Press
Sublime Ravenfolk,Humblewood Campaign Setting,Hit Point Press
Trail Warden,Humblewood Campaign Setting,Hit Point Press
Void Pirate Captain,Humblewood Campaign Setting,Hit Point Press
Void Pirate Herald,Humblewood Campaign Setting,Hit Point Press
Vulpin Berserker,Humblewood Campaign Setting,Hit Point Press
Vulpin Buccaneer,Humblewood Campaign Setting,Hit Point Press
Vulpin Cult Fanatic,Humblewood Campaign Setting,Hit Point Press
Vulpin Gloomweaver,Humblewood Campaign Setting,Hit Point Press
Vulpin Noble,Humblewood Campaign Setting,Hit Point Press
Vulpin Priest of Kren,Humblewood Campaign Setting,Hit Point Press
Vulpin Spy,Humblewood Campaign Setting,Hit Point Press
Werewolf Knight,Grim Hollow: The Campaign Guide,Ghostfire Gaming
