concept_name,source_book,publisher
Black Knight Commander,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast
Chaplain,Mordenkainen Presents: Monsters of the Multiverse,Wizards of the Coast
City Watch Captain,Waterdeep: Dragon Heist,Wizards of the Coast
Clasp Member,Explorer's Guide to Wildemount,Wizards of the Coast
Clockwork Horrors,Spelljammer: Adventures in Space,Wizards of the Coast
Deep One Hybrid Priest,Ghosts of Saltmarsh,Wizards of the Coast
Deep One Priest,Ghosts of Saltmarsh,Wizards of the Coast
Elder Lava Wurm,Tome of Beasts,Kobold Press
Elvish Veteran Archer,Tome of Beasts,Kobold Press
Field Commander,Dungeons of Drakkenheim,Ghostfire Gaming
Froghemoth Elder,Tomb of Annihilation,Wizards of the Coast
Herald of Blood,Dungeons of Drakkenheim,Ghostfire Gaming
Herald of Fools,Humblewood Campaign Setting,Hit Point Press
Hertilod,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Iron Shadow,Volo's Guide to Monsters,Wizards of the Coast
Jerbeen Commoner,Humblewood Campaign Setting,Hit Point Press
Jerbeen Swashbuckler,Humblewood Campaign Setting,Hit Point Press
Lyceum Scholar,Explorer's Guide to Wildemount,Wizards of the Coast
Mage Hunter Golem,Explorer's Guide to Wildemount,Wizards of the Coast
Marauding Dragon,Humblewood Campaign Setting,Hit Point Press
Mind Flayers,Volo's Guide to Monsters,Wizards of the Coast
Neogi Hatchlings,Spelljammer: Adventures in Space,Wizards of the Coast
Phaerimm,Dungeon Master's Guide,Wizards of the Coast
Pharaoh,Tales from the Yawning Portal,Wizards of the Coast
Sanguine Knight,Grim Hollow: The Campaign Guide,Ghostfire Gaming
Silver Order Recruit,Dungeons of Drakkenheim,Ghostfire Gaming
Silver Order Squire,Dungeons of Drakkenheim,Ghostfire Gaming
Skeleton Commander,Dungeons of Drakkenheim,Ghostfire Gaming
Skeleton Mage,Dungeons of Drakkenheim,Ghostfire Gaming
Skeleton Soldier,Dungeons of Drakkenheim,Ghostfire Gaming
Spectral Warlord,Dungeons of Drakkenheim,Ghostfire Gaming
Sword Wraith Commander,Mordenkainen's Tome of Foes,Wizards of the Coast
The Parasite,Explorer's Guide to Wildemount,Wizards of the Coast
Undead Horde,Dungeons of Drakkenheim,Ghostfire Gaming
Baroness Brantifax,Candlekeep Mysteries,Wizards of the Coast
Bernice Blatherwick,Candlekeep Mysteries,Wizards of the Coast
Bervis,Candlekeep Mysteries,Wizards of the Coast
Cadwyll Piper,Candlekeep Mysteries,Wizards of the Coast
Canon Athenodorus,Candlekeep Mysteries,Wizards of the Coast
Captain Ansom Lang,Candlekeep Mysteries,Wizards of the Coast
Cathus Gright,Candlekeep Mysteries,Wizards of the Coast
Chafkhem,Candlekeep Mysteries,Wizards of the Coast
Chandriu Invisar,Candlekeep Mysteries,Wizards of the Coast
Charmayne Daymore,Candlekeep Mysteries,Wizards of the Coast
Chernabos,Candlekeep Mysteries,Wizards of the Coast
Christophe Laszlo,Candlekeep Mysteries,Wizards of the Coast
Corlie Halvachar,Candlekeep Mysteries,Wizards of the Coast
Count Rhodar von Glauer,Candlekeep Mysteries,Wizards of the Coast
Dalliance,The Wild Beyond the Witchlight,Wizards of the Coast
Dukha Batiyali,Candlekeep Mysteries,Wizards of the Coast
Dunal,Candlekeep Mysteries,Wizards of the Coast
Edwardia,Candlekeep Mysteries,Wizards of the Coast
Emad Farrock,Candlekeep Mysteries,Wizards of the Coast
Enoch,Candlekeep Mysteries,Wizards of the Coast
Ethelred,Candlekeep Mysteries,Wizards of the Coast
Finn Dejarr,Candlekeep Mysteries,Wizards of the Coast
Flauma,Candlekeep Mysteries,Wizards of the Coast
Flemon,Candlekeep Mysteries,Wizards of the Coast
Forzaantilirys,Candlekeep Mysteries,Wizards of the Coast
Forzaantirilys,Candlekeep Mysteries,Wizards of the Coast
Gallio Elibro,Candlekeep Mysteries,Wizards of the Coast
Garlo,Candlekeep Mysteries,Wizards of the Coast
