concept_name,source_book,publisher
Horns,The Wild Beyond the Witchlight,Wizards of the Coast
Invido,The Wild Beyond the Witchlight,Wizards of the Coast
Medi Tuck,The Wild Beyond the Witchlight,Wizards of the Coast
Mister Witch,The Wild Beyond the Witchlight,Wizards of the Coast
Molliver,The Wild Beyond the Witchlight,Wizards of the Coast
Podge,The Wild Beyond the Witchlight,Wizards of the Coast
Ringlerun,The Wild Beyond the Witchlight,Wizards of the Coast
Sheila,The Wild Beyond the Witchlight,Wizards of the Coast
Sir Ursas,The Wild Beyond the Witchlight,Wizards of the Coast
Skylla,The Wild Beyond the Witchlight,Wizards of the Coast
Slip Tideswell,The Wild Beyond the Witchlight,Wizards of the Coast
Snap,The Wild Beyond the Witchlight,Wizards of the Coast
Strongheart,The Wild Beyond the Witchlight,Wizards of the Coast
Winvarle,The Wild Beyond the Witchlight,Wizards of the Coast
Yalme,The Wild Beyond the Witchlight,Wizards of the Coast
"Bita, the Council Speaker",Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Dzaan,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Elva,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Hrigg Roundhook,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Jonall Hannu,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Jutkarr Flintfingers,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Kapanuk Thuunlakalaga,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Malin,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Nass Lantomir,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Rerak,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Vellynne Harpell,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Yselm Bloodfang,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Caithas,Explorer's Guide to Wildemount,Wizards of the Coast
Ceemal,Ghosts of Saltmarsh,Wizards of the Coast
Champion of Ravens,Tal'Dorei Campaign Setting Reborn,Darrington Press
Doty X,Tal'Dorei Campaign Setting Reborn,Darrington Press
Elro Aldataur,Critical Role: Call of the Netherdeep,Wizards of the Coast
Galas Windrage,Explorer's Guide to Wildemount,Wizards of the Coast
Ignis,Humblewood Campaign Setting,Hit Point Press
Irven Liel,Critical Role: Call of the Netherdeep,Wizards of the Coast
Jeyev Veldrews,Critical Role: Call of the Netherdeep,Wizards of the Coast
Lohezet,Explorer's Guide to Wildemount,Wizards of the Coast
Lyra,Tal'Dorei Campaign Setting Reborn,Darrington Press
Minarrh,Explorer's Guide to Wildemount,Wizards of the Coast
Nafas,Quests from the Infinite Staircase,Wizards of the Coast
Nerukhet,Journeys through the Radiant Citadel,Wizards of the Coast
Nestra Vendri,Journeys through the Radiant Citadel,Wizards of the Coast
Onyari,Explorer's Guide to Wildemount,Wizards of the Coast
Sor'Kur,Spelljammer: Light of Xaryxis,Wizards of the Coast
Sylvira Savikas,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Tulgi Lutan,Explorer's Guide to Wildemount,Wizards of the Coast
Urgon Wenth,Explorer's Guide to Wildemount,Wizards of the Coast
Vagol Kuskolt,Candlekeep Mysteries,Wizards of the Coast
Varrin Axebreaker,Storm King's Thunder,Wizards of the Coast
Xaantikorijek,Explorer's Guide to Wildemount,Wizards of the Coast
Yilsebek Dalambra,Explorer's Guide to Wildemount,Wizards of the Coast
Zalryr,Explorer's Guide to Wildemount,Wizards of the Coast
Zenith Aastrika,Critical Role: Call of the Netherdeep,Wizards of the Coast
Blackjack Mel,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Dr. Cassee Dannell,Candlekeep Mysteries,Wizards of the Coast
General Yael,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Grand Duke Ulder Ravengard,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Lulu,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Mad Maggie,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Mahadi,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Mortlock Vanthampur,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Tarnhem,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Droop,Lost Mine of Phandelver,Wizards of the Coast
Erky Timbers,Tales from the Yawning Portal,Wizards of the Coast
Gundren Rockseeker,Lost Mine of Phandelver,Wizards of the Coast
Harbin Wester,Lost Mine of Phandelver,Wizards of the Coast
Halia Thornton,Lost Mine of Phandelver,Wizards of the Coast
Sildar Hallwinter,Lost Mine of Phandelver,Wizards of the Coast
Sister Garaele,Lost Mine of Phandelver,Wizards of the Coast
Calor,Humblewood Campaign Setting,Hit Point Press
Cara Blaine,Acquisitions Incorporated,Wizards of the Coast
Cartographer's Agent,Acquisitions Incorporated,Wizards of the Coast
Dohma Raskovar,Humblewood Campaign Setting,Hit Point Press
Flukespan Timbers,Humblewood Campaign Setting,Hit Point Press
Frond Bellewether,Humblewood Campaign Setting,Hit Point Press
