concept_name,source_book,publisher
Ker-arach,Out of the Abyss,Wizards of the Coast
Klarg,Lost Mine of Phandelver,Wizards of the Coast
Kostchtchie,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Lord Bakaris,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast
Lord of the Bog,Humblewood Campaign Setting,Hit Point Press
Man in the Mirage,Humblewood Campaign Setting,Hit Point Press
Miska the Wolf-Spider,Vecna: Eve of Ruin,Wizards of the Coast
Nezznar the Spider,Lost Mine of Phandelver,Wizards of the Coast
Nintra Siotta,Candlekeep Mysteries,Wizards of the Coast
Olhydra,Princes of the Apocalypse,Wizards of the Coast
Orcus,Out of the Abyss,Wizards of the Coast
Qazyldrath,Candlekeep Mysteries,Wizards of the Coast
Queen Bargnot,Storm King's Thunder,Wizards of the Coast
Queen of Thieves,Tal'Dorei Campaign Setting Reborn,Darrington Press
Reborn Vladimir von Drakken,Lost Laboratory of Kwalish,Wizards of the Coast
Ruxithid the Chosen,Critical Role: Call of the Netherdeep,Wizards of the Coast
Shemshime,Candlekeep Mysteries,Wizards of the Coast
Shtriga Nonna,Van Richten's Guide to Ravenloft,Wizards of the Coast
Skabatha Nightshade,The Wild Beyond the Witchlight,Wizards of the Coast
Sparkrender,Dragons of Stormwreck Isle,Wizards of the Coast
Strahd von Zarovich,Curse of Strahd,Wizards of the Coast
Szass Tam,Forgotten Realms Campaign Setting,Wizards of the Coast
Tekeli-li,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Thalamra Vanthampur,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Thavius Kreeg,Baldur's Gate: Descent into Avernus,Wizards of the Coast
The Duchess,Ghosts of Saltmarsh,Wizards of the Coast
The Rat King,Humblewood Campaign Setting,Hit Point Press
The World Ender,Humblewood Campaign Setting,Hit Point Press
Tiamat,The Rise of Tiamat,Wizards of the Coast
Ularan Mortus,Divine Contention,Wizards of the Coast
Ulsedra Vox,Explorer's Guide to Wildemount,Wizards of the Coast
Valin Sarnaster,Hoard of the Dragon Queen,Wizards of the Coast
Vecna,Vecna: Eve of Ruin,Wizards of the Coast
Venger,The Wild Beyond the Witchlight,Wizards of the Coast
Vile Sazha,Explorer's Guide to Wildemount,Wizards of the Coast
Vladimir von Drakken,Lost Laboratory of Kwalish,Wizards of the Coast
Warduke,The Wild Beyond the Witchlight,Wizards of the Coast
Xanthoria,Candlekeep Mysteries,Wizards of the Coast
Xardorok Sunblight,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Xorannox,Acquisitions Incorporated,Wizards of the Coast
Xorannox the Tyract,Acquisitions Incorporated,Wizards of the Coast
Zarak,The Wild Beyond the Witchlight,Wizards of the Coast
Zargash,Hoard of the Dragon Queen,Wizards of the Coast
Zargon the Returner,The Lost City,Wizards of the Coast
Zariel,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Zuggtmoy,Out of the Abyss,Wizards of the Coast
Fool's Gold,YouTube,Dingo Doodles
Bernice's Recruits,Candlekeep Mysteries,Wizards of the Coast
Breaking the Ice,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Catch the Couriers,Waterdeep: Dragon Heist,Wizards of the Coast
Creatures of the Deep,Ghosts of Saltmarsh,Wizards of the Coast
Dinner and a Duel,The Wild Beyond the Witchlight,Wizards of the Coast
Down at the Docks,Waterdeep: Dragon Heist,Wizards of the Coast
Dread and Breakfast,The Wild Beyond the Witchlight,Wizards of the Coast
Entering the Wombweald,Humblewood Campaign Setting,Hit Point Press
Fight at the Museum,Acquisitions Incorporated,Wizards of the Coast
Foes in the Foliage,Humblewood Campaign Setting,Hit Point Press
Forging a Future,Acquisitions Incorporated,Wizards of the Coast
Games of the Gods,Mythic Odysseys of Theros,Wizards of the Coast
Give it a Whirl,The Wild Beyond the Witchlight,Wizards of the Coast
Green as Copper,Acquisitions Incorporated,Wizards of the Coast
He Who Laughs Last,The Wild Beyond the Witchlight,Wizards of the Coast
Heir to the Lair,The Wild Beyond the Witchlight,Wizards of the Coast
High Roller,Acquisitions Incorporated,Wizards of the Coast
Hunt for the Loper,Candlekeep Mysteries,Wizards of the Coast
Just the Tonic,Humblewood Campaign Setting,Hit Point Press
Law and Disorder,The Wild Beyond the Witchlight,Wizards of the Coast
Leader of the Pack,Humblewood Campaign Setting,Hit Point Press
Light the Way,Humblewood Campaign Setting,Hit Point Press
Logger,Acquisitions Incorporated,Wizards of the Coast
Murkmire Malevolence,Keys from the Golden Vault,Wizards of the Coast
Off the Rails,Acquisitions Incorporated,Wizards of the Coast
Plight of the Pegasus,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Race to the Top,Humblewood Campaign Setting,Hit Point Press
Reign of Iron,Humblewood Campaign Setting,Hit Point Press
