concept_name,source_book,publisher
Ythryn,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Zinda,Journeys through the Radiant Citadel,Wizards of the Coast
Zorzula's Rest,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast
Zulrogg,The Crooked Moon,Avantris Entertainment
Karsus,Forgotten Realms Campaign Setting,Wizards of the Coast
Kwalish,Infernal Machine Rebuild,Wizards of the Coast
Lum the Mad,Dungeon Master's Guide,Wizards of the Coast
Nathaniel Flint,Dungeons of Drakkenheim,Ghostfire Gaming
Sharruth,Explorer's Guide to Wildemount,Wizards of the Coast
Tasha,Tasha's Cauldron of Everything,Wizards of the Coast
Way of the Lion,Candlekeep Mysteries,Wizards of the Coast
Wretched Bloodline,Van Richten's Guide to Ravenloft,Wizards of the Coast
Celestial Codex,Tasha's Cauldron of Everything,Wizards of the Coast
Conch,The Wild Beyond the Witchlight,Wizards of the Coast
Cooperative Blade,Acquisitions Incorporated,Wizards of the Coast
Elucidarium,Explorer's Guide to Wildemount,Wizards of the Coast
Folding Drums,Acquisitions Incorporated,Wizards of the Coast
Fulcrum Lattice,Explorer's Guide to Wildemount,Wizards of the Coast
Hellfire Blade,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Lightning Rods,Acquisitions Incorporated,Wizards of the Coast
Mythos Tomes,Ghosts of Saltmarsh,Wizards of the Coast
Serpent's Crown,Ghosts of Saltmarsh,Wizards of the Coast
Soul Coin,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Spelljamming Helm,Spelljammer: Adventures in Space,Wizards of the Coast
Bulette-Proof,Acquisitions Incorporated,Wizards of the Coast
Cackle,The Wild Beyond the Witchlight,Wizards of the Coast
Flee or Freeze,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Graviturgy Magic,Explorer's Guide to Wildemount,Wizards of the Coast
Ichthyosis Mutagen,Dungeons of Drakkenheim,Ghostfire Gaming
Big Linda,Ghosts of Saltmarsh,Wizards of the Coast
Bigger Linda,Ghosts of Saltmarsh,Wizards of the Coast
Birdfolk Dockmaster,Humblewood Campaign Setting,Hit Point Press
Birdfolk Farmer,Humblewood Campaign Setting,Hit Point Press
Birdfolk Guard,Humblewood Campaign Setting,Hit Point Press
Birdfolk Militia,Humblewood Campaign Setting,Hit Point Press
Birdfolk Sailor,Humblewood Campaign Setting,Hit Point Press
Birdfolk Skirmisher,Humblewood Campaign Setting,Hit Point Press
Birdfolk Thug,Humblewood Campaign Setting,Hit Point Press
Bulwark Warrior,Humblewood Campaign Setting,Hit Point Press
Cervan Bandit General,Humblewood Campaign Setting,Hit Point Press
Cervan Priest,Humblewood Campaign Setting,Hit Point Press
Corvum Assassin,Humblewood Campaign Setting,Hit Point Press
Corvum Diviner,Humblewood Campaign Setting,Hit Point Press
Corvum Necromancer,Humblewood Campaign Setting,Hit Point Press
Corvum Songweaver,Humblewood Campaign Setting,Hit Point Press
Elder Dragon Frog,Humblewood Campaign Setting,Hit Point Press
Gallus Monk,Humblewood Campaign Setting,Hit Point Press
Gallus Necromancer,Humblewood Campaign Setting,Hit Point Press
Hedge Bard,Humblewood Campaign Setting,Hit Point Press
Hedge Witch,Humblewood Campaign Setting,Hit Point Press
Keeper of Hounds,Humblewood Campaign Setting,Hit Point Press
Knight of Shadows,Humblewood Campaign Setting,Hit Point Press
Luma Cleric of Ardea,Humblewood Campaign Setting,Hit Point Press
Luma Wizard,Humblewood Campaign Setting,Hit Point Press
Lupilisk Elder,Humblewood Campaign Setting,Hit Point Press
Mapach Bandit,Humblewood Campaign Setting,Hit Point Press
Mapach Brute,Humblewood Campaign Setting,Hit Point Press
Mapach Thug,Humblewood Campaign Setting,Hit Point Press
Mapach Tinkerer,Humblewood Campaign Setting,Hit Point Press
Misfortune Bringer,Humblewood Campaign Setting,Hit Point Press
Raptor Deckhand,Humblewood Campaign Setting,Hit Point Press
Raptor Explorer,Humblewood Campaign Setting,Hit Point Press
Raptor Mercenary,Humblewood Campaign Setting,Hit Point Press
Raptor Ranger,Humblewood Campaign Setting,Hit Point Press
Ratling Burrow Warden,Humblewood Campaign Setting,Hit Point Press
Shadow Fey Bandit,Humblewood Campaign Setting,Hit Point Press
Steel Hawk Captain,Humblewood Campaign Setting,Hit Point Press
Steel Hawk Soldier,Humblewood Campaign Setting,Hit Point Press
Strig Berserker,Humblewood Campaign Setting,Hit Point Press
Strig Knight,Humblewood Campaign Setting,Hit Point Press
