concept_name,source_book,publisher
Scoundrel,The Lord of the Rings Roleplaying,Free League Publishing
Treasure Hunter,The Lord of the Rings Roleplaying,Free League Publishing
Elder Elemental Eye,Princes of the Apocalypse,Wizards of the Coast
Elder Spirits,Humblewood Campaign Setting,Hit Point Press
Hallowed Dark,Humblewood Campaign Setting,Hit Point Press
Ilvaash,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast
Umberlee,Player's Handbook,Wizards of the Coast
Vairae,Humblewood Campaign Setting,Hit Point Press
Boughs of Eternity,Humblewood Campaign Setting,Hit Point Press
Carver Guild,Humblewood Campaign Setting,Hit Point Press
Cerberus Assembly,Explorer's Guide to Wildemount,Wizards of the Coast
Clan Axebreaker,Storm King's Thunder,Wizards of the Coast
Claret Orders,Explorer's Guide to Wildemount,Wizards of the Coast
Clovis Concord,Explorer's Guide to Wildemount,Wizards of the Coast
Court of Mice and Ravens,Humblewood Campaign Setting,Hit Point Press
Court of Night and Magic,Humblewood Campaign Setting,Hit Point Press
Court of Sparrows,Humblewood Campaign Setting,Hit Point Press
Court of Thieves,Humblewood Campaign Setting,Hit Point Press
Cragmaw Goblins,Lost Mine of Phandelver,Wizards of the Coast
Crimson Court,Humblewood Campaign Setting,Hit Point Press
Devourer Guild,Humblewood Campaign Setting,Hit Point Press
Dwendalian Empire,Explorer's Guide to Wildemount,Wizards of the Coast
Ebon Syndicate,Tal'Dorei Campaign Setting Reborn,Darrington Press
Eyes of the Mountain,Humblewood Campaign Setting,Hit Point Press
Flaming Fist,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Golden Grin,Tal'Dorei Campaign Setting Reborn,Darrington Press
Grave Order,Humblewood Campaign Setting,Hit Point Press
Hooded Lanterns,Dungeons of Drakkenheim,Ghostfire Gaming
Kryn Dynasty,Explorer's Guide to Wildemount,Wizards of the Coast
Merchant Lord,Tomb of Annihilation,Wizards of the Coast
Noble Houses,Waterdeep: Dragon Heist,Wizards of the Coast
Prismatic Circle,Humblewood Campaign Setting,Hit Point Press
Reghed Tribes,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Scarlet Shadow,Humblewood Campaign Setting,Hit Point Press
The Ashari,Tal'Dorei Campaign Setting Reborn,Darrington Press
The Clasp,Tal'Dorei Campaign Setting Reborn,Darrington Press
The Myriad,Explorer's Guide to Wildemount,Wizards of the Coast
The Ragtaggers,Humblewood Campaign Setting,Hit Point Press
The Remnants,Tal'Dorei Campaign Setting Reborn,Darrington Press
Trapper Guild,Humblewood Campaign Setting,Hit Point Press
Valor's Call,The Wild Beyond the Witchlight,Wizards of the Coast
Zephyr & Co.,Explorer's Guide to Wildemount,Wizards of the Coast
Abanasinia,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast
Bavlorna's Cottage,The Wild Beyond the Witchlight,Wizards of the Coast
Bel's Forge,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Blightshore,Explorer's Guide to Wildemount,Wizards of the Coast
Bremen,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Brigands' Tollway,The Wild Beyond the Witchlight,Wizards of the Coast
Caer-Dineval,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Caer-Konig,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Candlekeep,Candlekeep Mysteries,Wizards of the Coast
Caves of Chaos,The Keep on the Borderlands,Wizards of the Coast
Caves of Hunger,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Cloakwood,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Conyberry,Lost Mine of Phandelver,Wizards of the Coast
"Corremel, the City of Lanterns",The Crooked Moon,Avantris Entertainment
Corremel-in-Shadow,The Crooked Moon,Avantris Entertainment
Crags,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Crater's Rim,Critical Role: Call of the Netherdeep,Wizards of the Coast
Crypt of the Talhund,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast
Cynidicea,The Lost City,Wizards of the Coast
Daggerford,Princes of the Apocalypse,Wizards of the Coast
Dougan's Hole,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Downfall,The Wild Beyond the Witchlight,Wizards of the Coast
Dragon's Rest,Dragons of Stormwreck Isle,Wizards of the Coast
Dumathoin's Gulch,Critical Role: Call of the Netherdeep,Wizards of the Coast
Dungeon of Shadows,UNKNOWN,UNKNOWN
Ebondeath's Mausoleum,Divine Contention,Wizards of the Coast
Eileanar,Explorer's Guide to Wildemount,Wizards of the Coast
Eiselcross,Explorer's Guide to Wildemount,Wizards of the Coast
Elturel,Baldur's Gate: Descent into Avernus,Wizards of the Coast
Evernight,Neverwinter Campaign Setting,Wizards of the Coast
"Fandeval, City of Goblins",Humblewood Campaign Setting,Hit Point Press
Fishery,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
