concept_name,source_book,publisher
Cloak,Player's Handbook,Wizards of the Coast
Glaive,Player's Handbook,Wizards of the Coast
glaive,Player's Handbook,Wizards of the Coast
Brackenmill,Humblewood Campaign Setting,Hit Point Press
Becklin Uth Viharin,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast
Carman Rajani,The Wild Beyond the Witchlight,Wizards of the Coast
Cartographer's Agent,Acquisitions Incorporated,Wizards of the Coast
Chanelle Hallwinter,Dragon of Icespire Peak,Wizards of the Coast
Delvin,Candlekeep Mysteries,Wizards of the Coast
Durixaviinox,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Gwyn Oresong,Dragons of Stormwreck Isle,Wizards of the Coast
Keeper of Ravens,Humblewood Campaign Setting,Hit Point Press
Kelek,The Wild Beyond the Witchlight,Wizards of the Coast
Leedara,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast
Niko,Candlekeep Mysteries,Wizards of the Coast
Petty Officer Winston Ryeback,Ghosts of Saltmarsh,Wizards of the Coast
Tarak,Dragons of Stormwreck Isle,Wizards of the Coast
"""Lucky"" Sevran Dusktalon",Humblewood Campaign Setting,Hit Point Press
Bernice's Recruits,Candlekeep Mysteries,Wizards of the Coast
Cold Seal,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Greyhawkins,D&D Community,UNKNOWN
Jerry Smith,Dungeons & Dragons vs. Rick and Morty,Wizards of the Coast
Kender Stumblenoodles,D&D Cookbook,Wizards of the Coast
Lightning Seal,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Lightning Shield,UNKNOWN,UNKNOWN
Morty Smith,Dungeons & Dragons vs. Rick and Morty,Wizards of the Coast
Poison Seal,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Psychic Seal,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Return the Favour,Humblewood Campaign Setting,Hit Point Press
Rick Sanchez,Dungeons & Dragons vs. Rick and Morty,Wizards of the Coast
Safe in the Stillborn,Humblewood Campaign Setting,Hit Point Press
Save the Shelter,Humblewood Campaign Setting,Hit Point Press
Shadow of the Broodmother,Humblewood Campaign Setting,Hit Point Press
Shoppes and Stores,Waterdeep: Dragon Heist,Wizards of the Coast
Single Combat,UNKNOWN,UNKNOWN
State of the Art,Acquisitions Incorporated,Wizards of the Coast
Students of Snow,Candlekeep Mysteries,Wizards of the Coast
Stygian Gambit,Keys from the Golden Vault,Wizards of the Coast
Summer Smith,Dungeons & Dragons vs. Rick and Morty,Wizards of the Coast
Thaco,Advanced Dungeons & Dragons,Wizards of the Coast
The Family at the Jolly Dwarf,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Thunder Seal,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast
Tide's Up,Humblewood Campaign Setting,Hit Point Press
Trial and Error,Humblewood Campaign Setting,Hit Point Press
Truth or Scare,The Wild Beyond the Witchlight,Wizards of the Coast
Up in Smoke,Humblewood Campaign Setting,Hit Point Press
Walk the Walk,Acquisitions Incorporated,Wizards of the Coast
Warts and All,The Wild Beyond the Witchlight,Wizards of the Coast
Wave of Destruction,Princes of the Apocalypse,Wizards of the Coast
Win or Ooze,The Wild Beyond the Witchlight,Wizards of the Coast
"Aazael, The Dread Knight",Dungeons of Drakkenheim,Ghostfire Gaming
Belcorra Haruvex,Abomination Vaults,Paizo
