concept_name,action,category
Nib's Cave,APPROVE,Location
Nightbrook,APPROVE,Location
Niko,APPROVE,NPC
Nimbral,APPROVE,Location
Nintra Siotta,APPROVE,Villain
Nixylanna Vidorant,APPROVE,NPC
Noble Houses,APPROVE,Faction
Nog the Dwarf,APPROVE,NPC
Nordmaar,APPROVE,Location
Occultist Guild,APPROVE,Faction
Odaiova,APPROVE,NPC
Off the Rails,APPROVE,Other
Ogolai Thuunlakalaga,APPROVE,NPC
Olhydra,APPROVE,Villain
Olhydra's Canal,APPROVE,Location
Ollin,APPROVE,NPC
Olmarsh,APPROVE,Location
Oma Rattenfanger Keeper of the Plain,APPROVE,NPC
On the Menu,APPROVE,Other
Onyari,APPROVE,NPC
Orcus,APPROVE,Villain
Orn Proudbeak,APPROVE,NPC
Orostead,APPROVE,Location
Orvo Mustave,APPROVE,NPC
Otari,ARCHIVE,
Other Houses,ARCHIVE,
Palace of Exile,APPROVE,Location
Palace of Heart's Desire,APPROVE,Location
Pandemonium,APPROVE,Setting
Peloo,APPROVE,NPC
Percival de Rolo,APPROVE,PC
Petra Cloudburst,APPROVE,NPC
Petra's Crew,APPROVE,Faction
Petty Officer Winston Ryeback,APPROVE,NPC
Phaerimm,APPROVE,Monster
Phandalin,APPROVE,Location
Pharaoh,APPROVE,Monster
Pholsense,APPROVE,Location
Phorosfeather Grand Inquisitor of Gesme,APPROVE,NPC
Picco,APPROVE,NPC
Pik Whistleslap,APPROVE,NPC
Pike Trickfoot,APPROVE,PC
Pleasantpaw,APPROVE,Location
Plight of the Pegasus,APPROVE,Other
Podge,APPROVE,NPC
Poison Seal,APPROVE,Other
Pral,APPROVE,NPC
Presto,APPROVE,NPC
Prince Ellan Farra,APPROVE,NPC
Prismatic Circle,APPROVE,Faction
Prismeer,APPROVE,Location
Prisoner 13,APPROVE,NPC
Psychic Seal,APPROVE,Other
Qar Master of Jackals,APPROVE,Villain
Qazyldrath,APPROVE,Villain
Quayside,APPROVE,Location
Queen Bargnot,APPROVE,Villain
Queen Yolande,APPROVE,NPC
Queen of Thieves,APPROVE,Villain
Queen's Park,APPROVE,Location
Qunbraxel,APPROVE,NPC
Race to the Top,APPROVE,Other
"Radlee ""The Grim"" Thugram",APPROVE,NPC
Raegrin Mau,APPROVE,NPC
Raptor Deckhand,APPROVE,Monster
Raptor Explorer,APPROVE,Monster
Raptor Freebooter,APPROVE,Monster
Raptor Mercenary,APPROVE,Monster
Raptor Ranger,APPROVE,Monster
Ratling Burrow Warden,APPROVE,Monster
Raven Uth Vogler,APPROVE,NPC
Realmspace,APPROVE,Setting
Reborn Vladimir von Drakken,APPROVE,Villain
Reeves,APPROVE,NPC
Reformed Cultist,APPROVE,Monster
