Keyword,Category,World,Source,Ruleset
The Lost Dungeon of Rickedness,Location,Forgotten Realms,Dungeons & Dragons vs. Rick and Morty,2014
The Lost Dungeon of Rickedness,Location,Forgotten Realms,Dungeons & Dragons vs. Rick and Morty,2014
Jigow,Location,Exandria,Critical Role: Call of the Netherdeep,2014
Alyxian Aboleth,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Corrupted Giant Shark,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Death Embrace,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Gloomstalker,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Horizonback Tortoise,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Light Devourer,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Monastics of the Cobalt Soul,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Monastic High Curator,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Monastic Infiltrator,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Monastic Operative,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Moorbounders,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Occultists of the Vermilion Dream,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Occult Extollant,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Occult Initiate,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Occult Silvertongue,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Scholars of Allsight,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Scholarly Agent,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Scholarly Excavator,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Scholarly Mastermind,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Scuttling Serpentmaw,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Slithering Bloodfin,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Sorrowfish,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Swarm of Sorrowfish,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Sword Wraiths,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Sword Wraith Commander,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Sword Wraith Warrior,Monster,Exandria,Critical Role: Call of the Netherdeep,2014
Blaze,Monster,Minecraft,Monstrous Compendium Vol. 3: Minecraft Creatures,2014
Creeper,Monster,Minecraft,Monstrous Compendium Vol. 3: Minecraft Creatures,2014
Ender Dragon,Monster,Minecraft,Monstrous Compendium Vol. 3: Minecraft Creatures,2014
Enderman,Monster,Minecraft,Monstrous Compendium Vol. 3: Minecraft Creatures,2014
Wolf of the Overworld,Monster,Minecraft,Monstrous Compendium Vol. 3: Minecraft Creatures,2014
Frozen Sick,Location,Exandria,Frozen Sick,2014
Frigid Woe,Mechanic,Exandria,Frozen Sick,2014
Palebank Village,Location,Exandria,Frozen Sick,2014
Eiselcross,Location,Exandria,Frozen Sick,2014
Salsvault,Location,Exandria,Frozen Sick,2014
Croaker Cave,Location,Exandria,Frozen Sick,2014
Urgon Wenth,NPC,Exandria,Frozen Sick,2014
Verla Pelc,NPC,Exandria,Frozen Sick,2014
Elro Aldataur,NPC,Exandria,Frozen Sick,2014
Tulgi Lutan,NPC,Exandria,Frozen Sick,2014
Hulil Lutan,NPC,Exandria,Frozen Sick,2014
Irven Liel,NPC,Exandria,Frozen Sick,2014
Orvo Mustave,NPC,Exandria,Frozen Sick,2014
Ferol Sal,NPC,Exandria,Frozen Sick,2014
Raegrin Mau,NPC,Exandria,Frozen Sick,2014
The Buyer,NPC,Exandria,Frozen Sick,2014
The Family at the Jolly Dwarf,NPC,Exandria,Frozen Sick,2014
Lightning Keep,Location,Generic,Lightning Keep,2014
Lightning Rods,Item,Generic,Lightning Keep,2014
Lightning Shield,Mechanic,Generic,Lightning Keep,2014
Marauding Dragon,Villain,Generic,Lightning Keep,2014
Werewolf Knight,NPC,Generic,Lightning Keep,2014
Blue Jade Rings,Item,Generic,Lightning Keep,2014
