Keyword,Category,World,Source,Ruleset
"Arista, Wand of the Spire",Item,Generic,The Griffon’s Saddlebag Book Two,2014
"Hatred, the Wrathful Edge",Item,Generic,The Griffon’s Saddlebag Book Two,2014
"Morath, Scepter of the Soul Vortex",Item,Generic,The Griffon’s Saddlebag Book Two,2014
"Nimbus, First Staff of the Thunderbirds",Item,Generic,The Griffon’s Saddlebag Book Two,2014
"Silverwind, the Cleansing Breeze",Item,Generic,The Griffon’s Saddlebag Book Two,2014
Etherean,Race,Generic,The Griffon’s Saddlebag Book Two,2014
Geleton,Race,Generic,The Griffon’s Saddlebag Book Two,2014
Barbarian: Path of the Infernal,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Bard: College of Mercantile,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Cleric: Festus Domain,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Druid: Circle of Dragons,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Fighter: Steel Hawk,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Monk: Way of the Aether,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Paladin: Oath of the Spelldrinker,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Ranger: Rocborne,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Rogue: Grim Surgeon,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Sorcerer: Desert Soul,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Warlock: The Many,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
Wizard: Wand Lore,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
"Antronec, the City of Artisans",Location,Generic,The Griffon’s Saddlebag Book Two,2014
The Bloodmire,Location,Generic,The Griffon’s Saddlebag Book Two,2014
Crest City,Location,Generic,The Griffon’s Saddlebag Book Two,2014
Durheim Monastery,Location,Generic,The Griffon’s Saddlebag Book Two,2014
Grymclover Forests,Location,Generic,The Griffon’s Saddlebag Book Two,2014
Heavensteppe,Location,Generic,The Griffon’s Saddlebag Book Two,2014
The H’rethi Desert,Location,Generic,The Griffon’s Saddlebag Book Two,2014
The Infinite Animarum,Location,Generic,The Griffon’s Saddlebag Book Two,2014
The Magmarath Caldera,Location,Generic,The Griffon’s Saddlebag Book Two,2014
Mysteries of the Border Ethereal,Location,Generic,The Griffon’s Saddlebag Book Two,2014
Orostead,Location,Generic,The Griffon’s Saddlebag Book Two,2014
The Rocborne,Subclass,Generic,The Griffon’s Saddlebag Book Two,2014
The Rocborne,Location,Generic,The Griffon’s Saddlebag Book Two,2014
"The Upheaval, a War Against Magic",Location,Generic,The Griffon’s Saddlebag Book Two,2014
Ale Elemental,Monster,Generic,The Griffon’s Saddlebag Book Two,2014
Alceton,Monster,Generic,The Griffon’s Saddlebag Book Two,2014
Analeptic Lizard,Monster,Generic,The Griffon’s Saddlebag Book Two,2014
Antlions,Monster,Generic,The Griffon’s Saddlebag Book Two,2014
Giant Antlion Hatchling,Monster,Generic,The Griffon’s Saddlebag Book Two,2014
Juvenile Giant Antlion,Monster,Generic,The Griffon’s Saddlebag Book Two,2014
Adult Giant Antlion,Monster,Generic,The Griffon’s Saddlebag Book Two,2014
Aqualisk,Monster,Generic,The Griffon’s Saddlebag Book Two,2014
Archer Flower,Monster,Generic,The Griffon’s Saddlebag Book Two,2014
Bardic Merchant,Monster,Generic,The Griffon’s Saddlebag Book Two,2014
